qty,price
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167100000000000364e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.168200000000000500e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.168700000000000045e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169600000000000364e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.171599999999999682e+02
0.000000000000000000e+00,6.172000000000000455e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.172200000000000273e+02
0.000000000000000000e+00,6.171599999999999682e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.172999999999999545e+02
0.000000000000000000e+00,6.173700000000000045e+02
0.000000000000000000e+00,6.174299999999999500e+02
0.000000000000000000e+00,6.172300000000000182e+02
0.000000000000000000e+00,6.171900000000000546e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.173300000000000409e+02
0.000000000000000000e+00,6.174299999999999500e+02
0.000000000000000000e+00,6.173600000000000136e+02
0.000000000000000000e+00,6.171900000000000546e+02
0.000000000000000000e+00,6.171100000000000136e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.172100000000000364e+02
0.000000000000000000e+00,6.172000000000000455e+02
0.000000000000000000e+00,6.172000000000000455e+02
0.000000000000000000e+00,6.171599999999999682e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.171799999999999500e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.171399999999999864e+02
0.000000000000000000e+00,6.171399999999999864e+02
0.000000000000000000e+00,6.171799999999999500e+02
0.000000000000000000e+00,6.172400000000000091e+02
0.000000000000000000e+00,6.171699999999999591e+02
0.000000000000000000e+00,6.171399999999999864e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.169600000000000364e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.168200000000000500e+02
0.000000000000000000e+00,6.168200000000000500e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.167100000000000364e+02
0.000000000000000000e+00,6.166900000000000546e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.167000000000000455e+02
0.000000000000000000e+00,6.167100000000000364e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.168600000000000136e+02
0.000000000000000000e+00,6.167599999999999909e+02
0.000000000000000000e+00,6.166799999999999500e+02
0.000000000000000000e+00,6.168099999999999454e+02
0.000000000000000000e+00,6.167799999999999727e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.168500000000000227e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.168099999999999454e+02
0.000000000000000000e+00,6.168200000000000500e+02
0.000000000000000000e+00,6.167599999999999909e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.166799999999999500e+02
0.000000000000000000e+00,6.166599999999999682e+02
0.000000000000000000e+00,6.167300000000000182e+02
0.000000000000000000e+00,6.164800000000000182e+02
0.000000000000000000e+00,6.165499999999999545e+02
0.000000000000000000e+00,6.165299999999999727e+02
0.000000000000000000e+00,6.166000000000000227e+02
0.000000000000000000e+00,6.165000000000000000e+02
0.000000000000000000e+00,6.165000000000000000e+02
0.000000000000000000e+00,6.165399999999999636e+02
0.000000000000000000e+00,6.166000000000000227e+02
0.000000000000000000e+00,6.166200000000000045e+02
0.000000000000000000e+00,6.166900000000000546e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.168899999999999864e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.170800000000000409e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.170900000000000318e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.170299999999999727e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169800000000000182e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170299999999999727e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.169199999999999591e+02
0.000000000000000000e+00,6.169500000000000455e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.168700000000000045e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.168500000000000227e+02
0.000000000000000000e+00,6.168600000000000136e+02
0.000000000000000000e+00,6.168099999999999454e+02
0.000000000000000000e+00,6.167799999999999727e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167200000000000273e+02
0.000000000000000000e+00,6.167200000000000273e+02
0.000000000000000000e+00,6.166900000000000546e+02
0.000000000000000000e+00,6.167100000000000364e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.168099999999999454e+02
0.000000000000000000e+00,6.167599999999999909e+02
0.000000000000000000e+00,6.167999999999999545e+02
0.000000000000000000e+00,6.167300000000000182e+02
0.000000000000000000e+00,6.166900000000000546e+02
0.000000000000000000e+00,6.167000000000000455e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.167300000000000182e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.167699999999999818e+02
0.000000000000000000e+00,6.167599999999999909e+02
0.000000000000000000e+00,6.167200000000000273e+02
0.000000000000000000e+00,6.167000000000000455e+02
0.000000000000000000e+00,6.167200000000000273e+02
0.000000000000000000e+00,6.167400000000000091e+02
0.000000000000000000e+00,6.168600000000000136e+02
0.000000000000000000e+00,6.168500000000000227e+02
0.000000000000000000e+00,6.169700000000000273e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170499999999999545e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.170900000000000318e+02
0.000000000000000000e+00,6.170900000000000318e+02
0.000000000000000000e+00,6.170800000000000409e+02
0.000000000000000000e+00,6.170499999999999545e+02
0.000000000000000000e+00,6.171000000000000227e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.170389999999999873e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.170900000000000318e+02
0.000000000000000000e+00,6.169600000000000364e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.168700000000000045e+02
0.000000000000000000e+00,6.167999999999999545e+02
0.000000000000000000e+00,6.169900000000000091e+02
0.000000000000000000e+00,6.169199999999999591e+02
0.000000000000000000e+00,6.169800000000000182e+02
0.000000000000000000e+00,6.169400000000000546e+02
0.000000000000000000e+00,6.169600000000000364e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.170299999999999727e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.170299999999999727e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.170399999999999636e+02
0.000000000000000000e+00,6.170900000000000318e+02
0.000000000000000000e+00,6.171200000000000045e+02
0.000000000000000000e+00,6.170700000000000500e+02
0.000000000000000000e+00,6.170499999999999545e+02
0.000000000000000000e+00,6.170599999999999454e+02
0.000000000000000000e+00,6.170800000000000409e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.170099999999999909e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169099999999999682e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.169299999999999500e+02
0.000000000000000000e+00,6.170299999999999727e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.170199999999999818e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.168700000000000045e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.168799999999999955e+02
0.000000000000000000e+00,6.167899999999999636e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.167000000000000455e+02
0.000000000000000000e+00,6.166200000000000045e+02
0.000000000000000000e+00,6.167500000000000000e+02
0.000000000000000000e+00,6.168999999999999773e+02
0.000000000000000000e+00,6.170000000000000000e+02
0.000000000000000000e+00,6.168550000000000182e+02
0.000000000000000000e+00,6.178500000000000227e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.168849999999999909e+02
0.000000000000000000e+00,6.168300000000000409e+02
0.000000000000000000e+00,6.168049999999999500e+02
0.000000000000000000e+00,6.165499999999999545e+02
0.000000000000000000e+00,6.164299999999999500e+02
0.000000000000000000e+00,6.164800000000000182e+02
0.000000000000000000e+00,6.163700000000000045e+02
0.000000000000000000e+00,6.165000000000000000e+02
0.000000000000000000e+00,6.162999999999999545e+02
0.000000000000000000e+00,6.163150000000000546e+02
0.000000000000000000e+00,6.162799999999999727e+02
0.000000000000000000e+00,6.162699999999999818e+02
0.000000000000000000e+00,6.162300000000000182e+02
0.000000000000000000e+00,6.161699999999999591e+02
0.000000000000000000e+00,6.161100000000000136e+02
0.000000000000000000e+00,6.161698999999999842e+02
0.000000000000000000e+00,6.161299999999999955e+02
0.000000000000000000e+00,6.160800000000000409e+02
0.000000000000000000e+00,6.160499999999999545e+02
0.000000000000000000e+00,6.160099999999999909e+02
0.000000000000000000e+00,6.159049999999999727e+02
0.000000000000000000e+00,6.156900000000000546e+02
0.000000000000000000e+00,6.155392000000000507e+02
0.000000000000000000e+00,6.156599999999999682e+02
0.000000000000000000e+00,6.156710000000000491e+02
0.000000000000000000e+00,6.158849999999999909e+02
0.000000000000000000e+00,6.161400999999999613e+02
0.000000000000000000e+00,6.161900000000000546e+02
4.239507913589477539e+03,6.161900000000000546e+02
0.000000000000000000e+00,6.162699999999999818e+02
0.000000000000000000e+00,6.163400000000000318e+02
0.000000000000000000e+00,6.163899000000000115e+02
0.000000000000000000e+00,6.163799999999999955e+02
0.000000000000000000e+00,6.160499999999999545e+02
0.000000000000000000e+00,6.160750000000000455e+02
1.196026470955899867e+03,6.159099999999999682e+02
0.000000000000000000e+00,6.159099999999999682e+02
0.000000000000000000e+00,6.158600000000000136e+02
0.000000000000000000e+00,6.159800000000000182e+02
0.000000000000000000e+00,6.159800000000000182e+02
0.000000000000000000e+00,6.160599999999999454e+02
0.000000000000000000e+00,6.160349999999999682e+02
0.000000000000000000e+00,6.161200000000000045e+02
4.564465615454622821e+03,6.162599999999999909e+02
